bahnhof,verbund,slug
Mannheim Hbf,VRN,mannheim-hbf
Heidelberg Hbf,VRN,heidelberg-hbf
Ludwigshafen(Rh)Hbf,VRN,ludwigshafen-rh-hbf
Kaiserslautern Hbf,VRN,kaiserslautern-hbf
Worms Hbf,VRN,worms-hbf
Speyer Hbf,VRN,speyer-hbf
Neustadt(Weinstr)Hbf,VRN,neustadt-weinstr-hbf
Landau(Pfalz)Hbf,VRN,landau-pfalz-hbf
Germersheim,VRN,germersheim
Frankenthal Hbf,VRN,frankenthal-hbf
Schifferstadt,VRN,schifferstadt
Weinheim(Bergstr)Hbf,VRN,weinheim-bergstr-hbf
Bensheim,VRN,bensheim
Heppenheim(Bergstr),VRN,heppenheim-bergstr
Wiesloch-Walldorf,VRN,wiesloch-walldorf
Neckargemünd,VRN,neckargemuend
Eberbach,VRN,eberbach
Mosbach(Baden),VRN,mosbach-baden
Bruchsal,VRN,bruchsal
Grünstadt,VRN,gruenstadt
Bad Dürkheim,VRN,bad-duerkheim
Frankfurt(Main)Hbf,RMV,frankfurt-main-hbf
Frankfurt Hbf (tief),RMV,frankfurt-hbf-tief
Frankfurt(M)Hauptwache,RMV,frankfurt-m-hauptwache
Frankfurt(M)Konstablerwache,RMV,frankfurt-m-konstablerwache
Frankfurt(Main)Süd,RMV,frankfurt-main-sued
Frankfurt-Höchst,RMV,frankfurt-hoechst
Frankfurt(M) Flughafen Fernbf,RMV,frankfurt-m-flughafen-fernbf
Frankfurt(M) Flughafen Regionalbf,RMV,frankfurt-m-flughafen-regionalbf
Offenbach(Main)Ost,RMV,offenbach-main-ost
Hanau Hbf,RMV,hanau-hbf
Darmstadt Hbf,RMV,darmstadt-hbf
Wiesbaden Hbf,RMV,wiesbaden-hbf
Mainz Hbf,RMV,mainz-hbf
Gießen,RMV,giessen
Fulda,RMV,fulda
Limburg(Lahn),RMV,limburg-lahn
Marburg(Lahn),RMV,marburg-lahn
Wetzlar,RMV,wetzlar
Friedberg(Hess),RMV,friedberg-hess
Bad Homburg,RMV,bad-homburg
Rüsselsheim,RMV,ruesselsheim
Hofheim(Taunus),RMV,hofheim-taunus
Bad Vilbel,RMV,bad-vilbel
